Cell hash_umis pval qval top_to_second_best_ratio top_oligo top_hash_umi
A05_B02_RT_92 580 0 0 Inf F7 579
A05_B03_RT_10 36 3.16376538965448e-62 1.89825923379269e-61 Inf A7 36
A05_B03_RT_12 228 0 0 7.76 B7 200
A05_B03_RT_15 74 0 0 Inf B7 72
A05_B03_RT_27 21 0.198216711346165 0.594650134038494 33.5294117647059 A8 15
A05_B03_RT_35 201 0 0 176.842105263158 C7 198
A05_B03_RT_36 15 0.054226336930155 0.21690534772062 61.75 B8 13
A05_B03_RT_42 344 1.64949612500427e-128 1.15464728750299e-127 1.59984089101034 E7 133
A05_B03_RT_5 32 0.986324713651994 1 Inf A8 31
A05_B03_RT_51 344 2.31549739394223e-300 3.47324609091334e-299 4.77871621621622 D8 167
A05_B03_RT_58 247 0 0 Inf C7 244
A05_B03_RT_59 89 2.45188193670738e-23 1.22594096835369e-22 Inf D7 89
A05_B03_RT_61 53 1.28811490457895e-193 1.67454937595264e-192 Inf C8 52
A05_B03_RT_66 496 5.23694118465282e-143 4.18955294772226e-142 Inf D7 496
A05_B03_RT_69 564 3.88987430665025e-161 4.27886173731527e-160 Inf D7 562
A05_B03_RT_7 514 2.41699320749486e-148 2.17529388674538e-147 Inf D7 514
A05_B03_RT_70 91 1.09709620197814e-158 1.09709620197814e-157 Inf C7 90
A05_B03_RT_73 118 2.7076000244301e-212 3.79064003420215e-211 Inf A7 118
A05_B03_RT_83 8 0.76527258248372 1 Inf F8 5
A05_B03_RT_85 102 7.49947850310716e-179 8.99937420372859e-178 Inf A7 101
A05_C03_RT_13 13 1.43251389192743e-99 4.29754167578229e-99 7.50877192982456 F8 10
A05_C03_RT_18 42 0 0 Inf B8 40
A05_C03_RT_21 429 8.12545262537454e-193 6.50036210029963e-192 Inf F7 404
A05_C03_RT_23 447 0 0 10.452587592414 E7 296
A05_C03_RT_3 760 0 0 Inf E7 756
A05_C03_RT_36 14 1.71041212839964e-72 1.71041212839964e-72 15.3466666666667 F8 9
A05_C03_RT_51 1034 0 0 Inf F7 1028
A05_C03_RT_52 185 1.02964837817711e-161 6.17789026906268e-161 1.93201177017191 E7 115
A05_C03_RT_60 56 3.23647580329142e-121 1.29459032131657e-120 1.06317204301075 C8 28
A05_C03_RT_76 44 6.02045584612603e-96 1.20409116922521e-95 Inf E8 35
A05_C03_RT_77 191 1.261549325678e-125 6.30774662839002e-125 Inf D7 185
A05_C03_RT_90 705 0 0 Inf F7 701
A05_C03_RT_93 347 5.29865628448049e-173 3.70905939913634e-172 Inf F7 341
A06_B02_RT_23 16 5.66036494324486e-65 5.66036494324486e-65 21.5471698113208 A8 14
A06_B02_RT_24 41 3.48163420459252e-69 1.04449026137776e-68 Inf B8 39
A06_B02_RT_36 49 8.30057405449418e-66 1.66011481089884e-65 88.2777777777778 B8 42
A06_B02_RT_4 97 0 0 1.57007708479327 C8 55
A06_B02_RT_41 915 0 0 24.1511936339523 C7 654
A06_B02_RT_42 179 0 0 Inf B7 177
A06_B02_RT_49 374 8.87995313437057e-218 5.32797188062234e-217 Inf F7 371
A06_B02_RT_50 531 0 0 13.4134054954205 D7 479
A06_B02_RT_71 18 1.62889620150352e-98 6.51558480601408e-98 Inf A8 18
A06_B02_RT_75 223 0 0 Inf D8 217
A06_B02_RT_83 99 0 0 Inf A8 96
A06_B02_RT_84 410 2.39236342640816e-238 1.67465439848571e-237 Inf F7 406
A06_B02_RT_9 302 0 0 Inf C7 300
A06_B02_RT_91 47 2.87262393720584e-154 1.43631196860292e-153 Inf E8 42
A06_B03_RT_12 9 6.4966490541989e-105 4.54765433793923e-104 Inf F8 9
A06_B03_RT_20 326 0 0 Inf D7 324
A06_B03_RT_25 148 1.39432647632337e-138 1.53375912395571e-137 Inf A7 144
A06_B03_RT_28 237 3.62777426787626e-232 4.71610654823913e-231 Inf A7 233
A06_B03_RT_29 440 0 0 26.4620938628159 C7 410
A06_B03_RT_31 166 8.14866552361388e-165 9.77839862833665e-164 Inf A7 165
A06_B03_RT_33 33 6.47389236762393e-73 3.23694618381196e-72 63 B8 30
A06_B03_RT_4 49 8.34424149040091e-79 5.00654489424055e-78 Inf E8 43
A06_B03_RT_41 123 3.04049890380924e-263 4.25669846533294e-262 Inf C7 120
A06_B03_RT_44 372 0 0 Inf C7 370
A06_B03_RT_46 27 3.42579122346295e-51 6.85158244692591e-51 Inf C8 26
A06_B03_RT_53 50 5.24481122036901e-128 4.72033009833211e-127 Inf B8 48
A06_B03_RT_6 43 1.21518218559724e-69 4.86072874238897e-69 Inf C8 38
A06_B03_RT_68 73 1.11481338098655e-115 8.91850704789243e-115 Inf C8 63
A06_B03_RT_80 24 1.02272824732388e-52 3.06818474197163e-52 54.6363636363637 B8 22
A06_B03_RT_82 393 0 0 171.33 E7 357
A06_B03_RT_84 141 4.65334797278159e-136 4.65334797278159e-135 Inf A7 139
A06_B03_RT_85 57 2.43925698268951e-46 2.43925698268951e-46 Inf E7 54
A06_B03_RT_93 177 0 0 4.3 D8 132
A06_C03_RT_12 138 0 0 Inf B7 134
A06_C03_RT_24 13 7.88963058803368e-21 3.94481529401684e-20 9.99029126213592 E8 11
A06_C03_RT_27 267 8.10575350640422e-260 1.05374795583255e-258 Inf D7 265
A06_C03_RT_29 153 0 0 Inf C7 153
A06_C03_RT_33 35 1.00873021137781e-18 4.03492084551122e-18 75.5454545454545 B8 31
A06_C03_RT_38 2 0.00332681157660528 0.00332681157660528 1.57142857142857 E7 1
A06_C03_RT_39 199 0 0 Inf E7 196
A06_C03_RT_43 42 2.06192446311982e-26 1.44334712418388e-25 167.210526315789 B8 39
A06_C03_RT_45 32 5.99251658287808e-68 5.39326492459027e-67 27.5145631067961 E8 30
A06_C03_RT_46 30 5.08099116808519e-180 5.58909028489371e-179 Inf F8 28
A06_C03_RT_5 334 8.58430094669912e-281 1.28764514200487e-279 Inf F7 329
A06_C03_RT_56 22 9.96419234921093e-14 2.98925770476328e-13 29.2033898305085 B8 21
A06_C03_RT_58 177 1.73313391853296e-163 1.73313391853296e-162 Inf D7 173
A06_C03_RT_61 52 0 0 Inf A8 50
A06_C03_RT_63 142 0 0 Inf D8 142
A06_C03_RT_67 663 0 0 Inf C7 662
A06_C03_RT_69 36 2.9953157386101e-23 1.79718944316606e-22 89.7419354838709 B8 34
A06_C03_RT_73 239 8.23920321775027e-265 1.15348845048504e-263 Inf A7 236
A06_C03_RT_77 38 2.59034899408032e-09 5.18069798816064e-09 Inf B8 26
A06_C03_RT_79 44 6.75802186815748e-34 5.40641749452598e-33 Inf B8 44
A06_C03_RT_85 213 1.81140392971664e-183 2.17368471565997e-182 Inf F7 213
A07_B02_RT_11 535 0 0 9.64891179839633 F7 468
A07_B02_RT_14 692 0 0 3.28832784485913 C7 495
A07_B02_RT_18 64 1.71791348580382e-150 6.87165394321527e-150 Inf A8 59
A07_B02_RT_20 35 9.06709306983982e-73 9.06709306983982e-73 47.5094339622641 A8 31
A07_B02_RT_51 265 0 0 Inf A7 258
A07_B02_RT_52 74 1.44471563491929e-179 7.22357817459643e-179 Inf A8 69
A07_B02_RT_53 93 2.60351573365589e-116 7.81054720096768e-116 Inf C8 92
A07_B02_RT_75 89 1.18632690457085e-107 2.37265380914169e-107 Inf C8 87
A07_B02_RT_93 353 0 0 6.51775804661487 D8 291
A07_B03_RT_10 162 0 0 Inf C7 162
A07_B03_RT_14 277 0.695223504295184 1 1.52013108614233 D7 272
A07_B03_RT_20 172 0 0 Inf C7 171
A07_B03_RT_22 350 0 0 342.722846441948 F7 346
A07_B03_RT_26 34 0 0 9.80013642564802 B8 27
A07_B03_RT_29 16 5.81244604207789e-110 2.90622302103894e-109 15.4633204633205 A8 15
A07_B03_RT_30 65 0 0 Inf B8 62
A07_B03_RT_33 367 0.203343785008798 0.610031355026395 Inf D7 367
A07_B03_RT_35 267 0.797126648907899 1 Inf B7 61
A07_B03_RT_43 34 0 0 16.4932301740812 C8 32
A07_B03_RT_5 34 1.25112785146616e-30 5.00451140586464e-30 34.2732919254658 A8 31
A07_B03_RT_51 17 0 0 7.459 C8 14
A07_B03_RT_59 313 0 0 76.5173220973783 F7 309
A07_B03_RT_66 30 0 0 37.3333333333333 C8 29
A07_B03_RT_8 186 0 0 Inf C7 186
A07_B03_RT_83 40 0 0 13.69757489301 E8 36
A07_B03_RT_86 27 0 0 34.6954887218045 D8 26
A07_B03_RT_90 305 0 0 Inf C7 303
A07_B03_RT_93 46 0 0 Inf B8 46
A07_C03_RT_14 184 1.30226995099485e-96 1.56272394119382e-95 Inf D7 183
A07_C03_RT_15 21 2.61703581798652e-47 2.09362865438922e-46 Inf E7 21
A07_C03_RT_2 159 5.276987476254e-81 5.276987476254e-80 Inf D7 157
A07_C03_RT_20 67 1.69061085419069e-26 5.07183256257206e-26 43.6078431372549 D7 62
A07_C03_RT_21 23 4.87893248536268e-47 3.41525273975388e-46 Inf B8 22
A07_C03_RT_24 44 3.71950453064718e-45 2.23170271838831e-44 Inf F7 44
A07_C03_RT_26 7 0.302136497578639 0.302136497578639 13.304347826087 E8 6
A07_C03_RT_28 44 3.42627530718899e-74 3.0836477764701e-73 6.33587786259542 B8 36
A07_C03_RT_32 58 5.289243124883e-104 6.8760160623479e-103 Inf B7 57
A07_C03_RT_34 85 1.44896147516561e-159 2.17344221274842e-158 75.6666666666667 B7 84
A07_C03_RT_35 37 3.30748708509868e-32 1.32299483403947e-31 Inf F7 35
A07_C03_RT_42 185 1.19894386946458e-95 1.31883825641104e-94 Inf D7 183
A07_C03_RT_46 7 4.40995103120703e-05 8.81990206241406e-05 Inf F7 7
A07_C03_RT_5 148 0 0 Inf C7 148
A07_C03_RT_59 26 1.11966406655275e-44 5.59832033276373e-44 Inf B8 23
A07_C03_RT_63 25 2.35527469036475e-262 3.7684395045836e-261 Inf A8 25
A07_C03_RT_77 132 3.40655756015231e-106 4.76918058421323e-105 1.28092783505155 C8 74
A08_B02_RT_18 633 0 0 Inf D7 629
A08_B02_RT_19 28 4.5838421039907e-32 1.37515263119721e-31 Inf A8 26
A08_B02_RT_2 85 0 0 Inf B7 81
A08_B02_RT_27 229 0 0 1.74124761298536 A7 114
A08_B02_RT_3 70 2.19595078561285e-313 1.75676062849028e-312 Inf C8 66
A08_B02_RT_35 161 0 0 Inf D8 155
A08_B02_RT_37 26 2.16644627771056e-74 8.66578511084226e-74 Inf B8 25
A08_B02_RT_4 441 0 0 Inf E7 438
A08_B02_RT_42 63 5.0547831565598e-86 3.03286989393588e-85 Inf A8 61
A08_B02_RT_44 25 1.67577476732423e-27 1.67577476732423e-27 Inf A8 23
